area_ha,count,defo_m2,farm_id,label,total_m2,defo_pct
0.5,50,0.0,0,1,4909.224152359308,0.0
0.61,61,0.0,1,1,5984.363563477757,0.0
0.59,59,0.0,2,1,5785.115294841691,0.0
19.21,1921,0.0,3,1,188625.24410855165,0.0
1.03,103,0.0,4,1,10114.288781259575,0.0
11.68,1168,0.0,5,1,114724.43042805986,0.0
1.49,149,0.0,6,1,14623.148514900957,0.0
0.7,70,0.0,7,1,6863.4339647180905,0.0
0.55,55,0.0,8,1,5400.075297426709,0.0
1.93,193,0.0,9,1,18939.692256433827,0.0
0.86,86,0.0,10,1,8437.15264336081,0.0
1.39,139,0.0,11,1,13645.986797587084,0.0
0.57,57,0.0,12,1,5592.564620044183,0.0
0.52,52,0.0,13,1,5103.080783110974,0.0
4.0,400,0.0,14,1,39286.15507267971,0.0
1.77,177,0.0,15,1,17369.86029468612,0.0
2.22,222,0.0,16,1,21797.98242256315,0.0
2.81,281,0.0,17,1,27593.094301500485,0.0
0.92,92,0.0,18,1,9028.656044754329,0.0
1.32,132,0.0,19,1,12956.801799400178,0.0
1.28,128,0.0,20,1,12568.575111568673,0.0
0.65,65,0.0,21,1,6375.706975331026,0.0
2.66,266,0.0,22,1,26123.068876528283,0.0
0.84,84,0.0,23,1,8241.319747087065,0.0
1.41,141,0.0,24,1,13838.126471994445,0.0
1.29,129,0.0,25,1,12659.2596580655,0.0
0.6,60,0.0,26,1,5886.617370964499,0.0
1.49,149,0.0,27,1,14629.233618672688,0.0
0.78,78,0.0,28,1,7658.2486061844165,0.0
0.53,53,0.0,29,1,5205.354711644788,0.0
6.88,688,0.0,30,1,67545.08436132691,0.0
14.23,1423,0.0,31,1,139747.28394868126,0.0
1.69,169,0.0,32,1,16586.40857496074,0.0
0.52,52,0.0,33,1,5106.812816305726,0.0
1.13,113,0.0,34,1,11090.554508194273,0.0
1.28,128,0.0,35,1,12561.900405853874,0.0
0.54,54,0.0,36,1,5294.1344104243235,0.0
52.02,5202,0.0,37,1,510927.76760397403,0.0
1.96,196,0.0,38,1,19247.389962618967,0.0
0.91,91,0.0,39,1,8931.836675427006,0.0
1.61,161,0.0,40,1,15806.728456295239,0.0
27.59,2759,0.0,41,1,270933.2337449016,0.0
1.26,126,0.0,42,1,12361.957543406768,0.0
0.77,77,0.0,43,1,7555.001643132227,0.0
2.65,265,0.0,44,1,26012.09746470733,0.0
5.45,545,0.0,45,1,53531.862553136576,0.0
0.51,51,0.0,46,1,5003.14459324257,0.0
0.63,63,0.0,47,1,6176.496167560654,0.0
0.58,58,0.0,48,1,5692.783702027561,0.0
1.67,167,0.0,49,1,16386.401708356076,0.0
0.92,92,0.0,50,1,9024.037842514934,0.0
1.89,189,0.0,51,1,18559.968818634625,0.0
2.16,216,0.0,52,1,21195.958604401232,0.0
1.0,100,0.0,53,1,9803.912301815253,0.0
25.33,2533,0.0,54,1,248764.60897136005,0.0
3.24,324,0.0,55,1,31796.5820074044,0.0
0.61,61,0.0,56,1,5983.2900246115305,0.0
32.73,3273,0.0,57,1,321391.46102468454,0.0
0.51,51,0.0,58,1,5008.195874831255,0.0
34.59,3459,0.0,59,1,339704.03027720714,0.0
2.05,205,0.0,60,1,20121.243458407534,0.0
1.32,132,0.0,61,1,12959.37128822476,0.0
0.74,74,0.0,62,1,7263.795853409109,0.0
1.64,164,0.0,63,1,16090.6800806083,0.0
0.5,50,0.0,64,1,4909.885700420306,0.0
1.09,109,0.0,65,1,10689.582194728484,0.0
0.8,80,0.0,66,1,7846.98593384986,0.0
4.55,455,0.0,67,1,44678.286754114495,0.0
1.42,142,0.0,68,1,13929.559530220782,0.0
0.58,58,0.0,69,1,5692.9235007192565,0.0
3.91,391,0.0,70,1,38348.74015227671,0.0
0.84,84,0.0,71,1,8235.31859199673,0.0
0.54,54,0.0,72,1,5288.047747353947,0.0
0.92,92,0.0,73,1,9026.255255396225,0.0
0.89,89,0.0,74,1,8728.15840059168,0.0
1.19,119,0.0,75,1,11685.71481658337,0.0
32.54,3254,0.0,76,1,319469.9994191794,0.0
12.35,1235,0.0,77,1,121280.32321774356,0.0
0.89,89,0.0,78,1,8730.128640717152,0.0
1.79,179,0.0,79,1,17561.185162323593,0.0
0.51,51,0.0,80,1,5002.067191838283,0.0
0.59,59,0.0,81,1,5788.702622896082,0.0
2.35,235,0.0,82,1,23064.340482375206,0.0
0.7,70,0.0,83,1,6870.394668908211,0.0
0.76,76,0.0,84,1,7450.521073883656,0.0
0.93,93,0.0,85,1,9126.45735057756,0.0
9.34,934,0.0,86,1,91714.27469479441,0.0
0.85,85,0.0,87,1,8333.617198689779,0.0
0.96,96,0.0,88,1,9422.193167533122,0.0
1.06,106,0.0,89,1,10401.22522412468,0.0
1.17,117,0.0,90,1,11482.821959312287,0.0
2.1,210,0.0,91,1,20615.06376333799,0.0
2.97,297,0.0,92,1,29146.80962952261,0.0
0.71,71,0.0,93,1,6954.089267416562,0.0
1.03,103,0.0,94,1,10092.459330569995,0.0
1.39,139,0.0,95,1,13639.19815976012,0.0
1.64,164,0.0,96,1,16107.142084308694,0.0
3.5,350,0.0,97,1,34343.06797625975,0.0
0.52,52,0.0,98,1,5097.9878782085325,0.0
0.65,65,0.0,99,1,6372.777736110315,0.0
1.57,157,0.0,100,1,15405.421544991288,0.0
0.57,57,0.0,101,1,5592.680595577464,0.0
6.64,664,0.0,102,1,65206.75155998674,0.0
0.52,52,0.0,103,1,5102.661183555454,0.0
1.93,193,0.0,104,1,18948.13333207673,0.0
0.59,59,0.0,105,1,5780.67199342017,0.0
0.82,82,0.0,106,1,8048.091432010426,0.0
0.7,70,0.0,107,1,6874.639201205384,0.0
1.75,175,0.0,108,1,17179.990428730085,0.0
0.51,51,0.0,109,1,5007.708951374128,0.0
0.83,83,0.0,110,1,8145.695564449532,0.0
0.69,69,0.0,111,1,6772.197380454867,0.0
0.53,53,0.0,112,1,5202.677964214249,0.0
3.49,349,0.0,113,1,34245.792283720126,0.0
0.68,68,0.0,114,1,6666.945863880829,0.0
0.59,59,0.0,115,1,5793.604023443485,0.0
1.09,109,0.0,116,1,10691.001673769479,0.0
1.5,150,0.0,117,1,14722.50487509335,0.0
1.22,122,0.0,118,1,11971.972212189323,0.0
0.75,75,0.0,119,1,7363.828356933593,0.0
1.82,182,0.0,120,1,17859.975045507093,0.0
0.56,56,0.0,121,1,5487.453497314453,0.0
1.21,121,0.0,122,1,11877.056096394857,0.0
1.81,181,0.0,123,1,17774.428008704104,0.0
1.36,136,0.0,124,1,13332.559210564103,0.0
0.83,83,0.0,125,1,8136.670950945689,0.0
15.49,1549,0.0,126,1,152084.01867238974,0.0
0.79,79,0.0,127,1,7755.114697684496,0.0
1.12,112,0.0,128,1,10990.885752808814,0.0
0.5,50,0.0,129,1,4907.469595037719,0.0
1.49,149,0.0,130,1,14620.760270242128,0.0
1.12,112,0.0,131,1,10997.065784708659,0.0
1.22,122,0.0,132,1,11957.99304576201,0.0
0.69,69,0.0,133,1,6773.682812081131,0.0
1.26,126,0.0,134,1,12354.821251184801,0.0
0.72,72,0.0,135,1,7067.3714437447325,0.0
2.5,250,0.0,136,1,24527.83818146948,0.0
1.65,165,0.0,137,1,16200.09609231388,0.0
4.41,441,0.0,138,1,43292.94779175405,0.0
0.58,58,0.0,139,1,5684.672679946004,0.0
15.67,1567,0.0,140,1,153918.14150163243,0.0
0.52,52,0.0,141,1,5103.443637055042,0.0
1.21,121,0.0,142,1,11877.40226569082,0.0
0.61,61,0.0,143,1,5984.136959988464,0.0
0.53,53,0.0,144,1,5202.086586537081,0.0
0.93,93,0.0,145,1,9125.742263494754,0.0
3.08,308,0.0,146,1,30240.68147714653,0.0
0.85,85,0.0,147,1,8346.792337215647,0.0
2.98,298,0.0,148,1,29232.7461939793,0.0
1.32,132,0.0,149,1,12959.522607721068,0.0
0.59,59,0.0,150,1,5775.6029262767115,0.0
3.4,340,0.0,151,1,33386.060007013075,0.0
0.65,65,0.0,152,1,6374.052773868339,0.0
10.37,1037,0.0,153,1,101855.83017033599,0.0
0.6,60,552.6834641400505,154,1,5883.722800909302,9.393
0.82,82,0.0,155,1,8053.361085151223,0.0
0.6,60,0.0,156,1,5881.999175486846,0.0
0.72,72,0.0,157,1,7065.782905339259,0.0
2.42,242,0.0,158,1,23741.63100373509,0.0
0.51,51,0.0,159,1,4998.491320112641,0.0
4.68,468,0.0,160,1,45942.97889431223,0.0
64.64,6464,0.0,161,1,634402.6534151558,0.0
0.73,73,0.0,162,1,7164.001459488214,0.0
2.45,245,0.0,163,1,24044.798135705085,0.0
4.58,458,0.0,164,1,44934.4221869076,0.0
0.97,97,0.0,165,1,9518.879645164343,0.0
1.14,114,0.0,166,1,11189.54223716586,0.0
0.5,50,0.0,167,1,4900.838524762321,0.0
0.53,53,0.0,168,1,5202.198165384928,0.0
2.0,200,0.0,169,1,19632.944436884864,0.0
0.5,50,0.0,170,1,4908.280264491658,0.0
